GEOID,salesgr500k_1997,salesgr500Slope,totMarkValue_1997,totMarkSlope,perBigMark1997,perMarkSlope,opgr500k_1997,opgr500kSlope,opgr2000acres_1997,slopelargeCropOp,countyCornGrain_1997,SlopeCornGrain,countyCornSilage_1997,cornSilSlope,countyCotton_1997,CottonSlope,countyRice_1997,riceSlope,countySoybean_1997,soybeanSlope,countyWheat_1997,countyWheatSlope,cattlegr500_1997,cattlegr500_slope,ophogsgr1000_1997,hogsSlope,broilgr500000_2002,SlopeBroilOp,layergr100000_2002,layerSlope,turkeyContracts_2002,turkeySlope,Adens_Int,Adens_Slope,CattleAMU_1997,CattleAMUSlope,HogAMU1997,HogAMUSlope,TukeyAMU1997,TurkeyAMUSlope,Broiler_1997,BroilerAMUSlope,LayerAMU1997,LayerAMU
5021,34709000,9891340,89960000,7916620,38.58270342,3.309096936,45,4.16,19,1.18,28236,349.574352,0.00,0,28951,-86.28,71261,-230.88,136687,-913.78,26816,-1219.46,2,-0.08,NA,NA,0,0.54,NA,NA,NA,NA,3.301319053,1.5099478,7564,-136.1,115.6,-2.872,0,-0.00252,0,639.2934,1.85,-0.1594
5023,17850000,1437580,49890000,103640,35.77871317,2.56521799,16,1.12,1,0.48,91,19.42155525,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0.48,1,-0.04,12,-0.42,0,0,NA,NA,52.04397477,-5.809122289,26258,162.78,0,1.904,0,0.00576,51908.24,-1830.8366,0,0
5025,40559000,4563160,53968000,3962360,75.15379484,1.284387823,27,2.04,0,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,-0.06,NA,NA,24,-0.16,NA,NA,NA,NA,30.77742658,4.577767224,7923,-195.18,0,-0.896,0,0,33971.57,1613.5722,0,0
5027,32326000,609020,41683000,388300,77.55199962,0.636978521,32,-0.28,1,0.08,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,3,-0.1,NA,NA,13,-0.14,NA,NA,NA,NA,21.37759684,-2.012728351,15992,-237.46,324.4,-12.512,0,0.01008,28260,-548.6436,0,0
5029,42606000,6414580,85697000,4684880,49.71702627,2.410140347,51,2.32,9,-0.02,2104,39.18826739,0.00,19.35714286,NA,NA,0,87.6,21379,-103.14,7202,-285.02,5,0.24,16,-0.48,15,1.4,NA,NA,1,0,82.42363904,-1.51628032,34444,130.04,23039.6,-765.816,0,0.05832,54463.7,201.9438,0,0
5031,52636000,8946560,127190000,6181060,41.38375658,2.870454729,62,4.08,24,1.56,5401,1535.025921,NA,NA,113271,-2444.06,84093,-1658.62,114893,691.66,14658,-517.04,0,0,0,-0.02,NA,NA,NA,NA,NA,NA,4.191076529,-0.282961076,5508,-88.58,476,-15.032,0,-0.01368,0,0.0356,0.54,-0.0816
5033,34040000,561200,60915000,-72080,55.88114586,1.03043412,42,-0.54,6,0.06,1457,-0.346521146,NA,NA,NA,NA,0,-2.5,17595,265.98,3853,-69.66,4,0.12,NA,NA,1,-0.1,NA,NA,6,-0.32,40.34105332,-5.265895418,31197,-299.4,106,-1.192,5009.526,-269.74836,27100.74,-1049.2908,0,0
5035,53087000,7159640,85665000,6203520,61.97046635,1.758572913,52,2.18,50,0.68,6762,187.2291951,NA,NA,49170,-1448.98,24909,46.12,206765,1742.94,33264,-1636.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.657243106,-0.0647609,1067,-20.84,0,-0.144,0,0.02412,0,0.1396,0,0.3444
5037,62089000,5637300,104121000,4264140,59.63158249,1.951660212,65,2,42,0.52,3709,519.9038199,NA,NA,4431,-60.22,100153,-2307.96,187347,-1567.3,37573,-1599.76,3,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,3.088004667,-0.578092202,5450,-182.52,48,-2.208,0,0,0,0,0,0.1522
5039,0,0,1987000,-19240,0,0,1,-0.06,0,0.02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.823165153,-0.155271337,3362,-52,62.8,-1.712,0,0,0,0,0,0.034
5041,64146000,7034540,104336000,5377420,61.48021776,1.997694299,65,2.22,36,1.44,417,1994.999318,0.00,0,82340,-3502.18,44631,-1703.14,113312,4566.6,18405,-868.42,0,0,NA,NA,1,-0.06,NA,NA,NA,NA,1.465723175,-0.318636959,2458,-126.84,0,0,0,0,0,0,0,0.0568
5043,17422000,2740960,36948000,2149000,47.15275522,2.448271226,23,1.26,5,0.6,652,665.0907231,NA,NA,23679,-781.6,15158,-572.82,29639,758.52,3973,-160.34,2,-0.08,NA,NA,3,-0.1,NA,NA,NA,NA,6.481453908,-0.280005632,10001,-19.56,202.8,-8.904,0,0,2800.14,-91.6858,0,0
5045,2252000,469420,21407000,347620,10.51992339,1.583762835,3,0.52,5,0.1,318,41.19645293,0.00,2.8,NA,NA,2099,-39.68,11525,-85.6,2495,-140.4,7,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,27.36913372,-2.158416546,45734,-722.16,134.8,-2.224,0.36,0.0486,0,-0.1154,0,0
5047,77382000,4823220,100958000,4457560,76.64771489,0.857944885,68,1.2,3,0.28,0,32.57912688,NA,NA,NA,NA,0,0,2398,14.2,0,0,6,0.36,1,-0.04,5,1.12,NA,NA,38,-0.98,64.92742711,2.537752338,43896,349.3,0,0.168,39080.718,-709.31772,30004.66,1160.211,0,0
5049,0,617400,15705000,771420,0,2.041296525,1,0.44,7,0.14,0,15.96180082,NA,NA,NA,NA,NA,NA,0,42,0,-1.6,5,0.14,NA,NA,NA,NA,NA,NA,NA,NA,29.72295166,-0.512527696,41497,-155.72,322,-8.44,0.216,0.0612,0,0.3442,4.44,-0.367
5051,20002000,-282580,25647000,-336980,77.98962842,-0.271195405,6,0.1,0,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.04,2,-0.08,NA,NA,NA,NA,NA,NA,5.105298016,-0.520815418,9922,-199.46,0,16.688,0,0.01872,0.97,-0.0556,0,0
5053,0,289220,4907000,351820,0,0.538874818,1,0.18,1,0.18,0,0,NA,NA,NA,NA,NA,NA,0,0,0,1.6,2,0.48,NA,NA,1,-0.02,NA,NA,NA,NA,8.20943062,1.016064486,9354,267.58,46.8,-0.024,0,0.0144,0,64.927,0,0.037
5055,18861000,6992940,65362000,5500960,28.85621615,3.489624216,23,2.98,12,1.38,12100,902.9454297,0.00,0,23198,-1054.06,57452,1018.56,102970,-1159.82,11546,-468.02,0,0.04,NA,NA,NA,NA,NA,NA,NA,NA,6.012665905,-0.321966804,8992,-87.7,242.8,-8.864,0,0.00648,0,0.0032,3.39,0.2086
5057,105497000,5022300,145045000,3936920,72.73397911,1.031223376,81,1.02,6,0.16,465,-18.39699864,0.00,0,NA,NA,NA,NA,3574,-137.36,0,0,11,0.32,9,-0.16,37,0.22,1,-0.04,NA,NA,90.82267774,-4.79855771,52083,-63.88,18022.4,-506.208,0,0.00612,94599.45,-1238.2748,0,0
5059,2552000,1118600,10290000,1011040,24.80077745,3.020030632,4,0.58,1,0.06,0,0.276261937,NA,NA,NA,NA,0,0,2467,-98.68,0,0,4,-0.14,NA,NA,0,0.18,NA,NA,NA,NA,10.57456526,-0.183704317,18404,-180.66,26.8,2.008,0.18,0.00216,0,120.0998,0,0
5061,72791000,8347540,132405000,6073880,54.97602054,2.123891269,74,4.32,1,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.6,28,-0.92,10,0.86,NA,NA,NA,NA,98.0330892,-3.106380217,35194,298.12,31339.2,-1006.784,0,-0.0108,85496.74,-238.3862,0,0
5063,46429000,5455440,74413000,4785040,62.39366777,1.474570548,31,1.9,13,0.26,6756,-28.80354707,0.00,0,NA,NA,7488,-6.88,36103,-613.32,8887,-453.56,6,0.18,NA,NA,12,0.66,NA,NA,NA,NA,38.56845222,1.879590274,46389,-379.88,858.8,-34.712,0.162,-0.00432,29998.07,1158.4686,0,0
5065,15799000,1984520,28674000,1967220,55.09869568,1.452280625,14,0.8,3,0.08,0,0,NA,NA,NA,NA,NA,NA,0,2.96,130,-5.2,2,0.48,1,0,2,0.76,NA,NA,1,-0.06,29.71904077,1.551652365,29821,120.2,0,0,0,0.0072,17833.86,346.4476,0,1.42109E-17
5067,37079000,5327460,81248000,4307320,45.63681568,2.189534108,38,2.98,35,0.08,4019,352.9236016,NA,NA,1151,-69.78,85849,-483.28,168306,-2059.04,38902,-1646.1,0,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,3.286467767,0.086379662,4397,-27.28,127.6,-7.048,0,-0.01692,0,62.4048,0.55,0.3008
5069,71216000,6628800,96960000,5838160,73.44884488,1.315463195,66,1.6,47,0.16,4303,2050.502046,0.00,0,59250,-2780.92,51288,186.84,119238,364.42,22482,-1049.52,1,-0.04,NA,NA,3,0.04,NA,NA,NA,NA,5.071066555,0.269918017,5218,-135.42,144,-8.536,0,0,6157.5,265.604,0,0
5071,62183000,3959920,84325000,3039380,73.74206937,1.267333248,55,0.36,2,0.16,369,49.27899045,NA,NA,NA,NA,0,0,5537,-155.94,673,-22.76,6,0.24,4,-0.2,22,-0.66,NA,NA,17,0.06,58.49521227,-4.123483464,28456,108.92,5504,-303.536,12075.3,312.78024,46660.39,-1527.555,0,0
5073,57524000,3462900,73577000,2831380,78.18204058,1.094759133,59,0.76,8,0.3,3809,407.4188267,0.00,13.32,3651,-169.58,3082,-40.7,17847,-27.16,7177,-181.22,7,0.18,NA,NA,25,-0.74,NA,NA,NA,NA,52.7256822,-1.014552471,28209,139.02,231.2,-9.248,0,0,44187.21,-407.41,0,0
5075,23314000,6511300,76239000,4749840,30.58014927,3.258567507,30,2.92,20,0.64,3961,192.3929059,NA,NA,NA,NA,74345,68.86,108814,-1921,20916,-1008.14,2,0.02,NA,NA,0,0.74,NA,NA,NA,NA,19.20080398,1.289629996,17068,-151.84,93.2,-5.344,0,0.00252,8661.35,549.7226,0,0
5077,56791000,4621400,81209000,4038900,69.9319041,1.188237577,55,0.78,41,0.2,3891,1239.229195,0.00,0,30811,524.26,34224,-1359.74,170853,-592.68,47797,-1820.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.673680508,-0.238859148,2196,-61.32,287.2,-13.328,0,0,0,0,0,0.0866
5079,86822000,6120980,110629000,5191640,78.48032614,1.065061481,61,2.2,22,0.68,1364,1108.798772,0.00,0,34371,-996.5,31553,-898.38,66320,1076.6,11399,-449.28,3,-0.08,1,0,23,-0.74,NA,NA,NA,NA,34.17799416,1.388168904,10095,-72.48,0,0,0,0,34919.33,476.266,0,0
5081,20974000,3149800,38213000,2625280,54.88708031,2.064936273,24,1.52,18,0.14,2048,255.2476126,0.00,0,0,0,0,0,22568,-567.4,8176,-249.7,7,0.24,10,-0.42,6,-0.02,NA,NA,NA,NA,41.32710735,0.506238838,29648,146.5,6876.8,-274.288,0,0,20034.27,267.3592,0,0
5083,60277000,7486140,93606000,6753760,64.39437643,1.42124445,63,2.62,10,0.16,1271,-26.7319236,NA,NA,NA,NA,NA,NA,7926,-207.68,1799,-88.98,5,0.86,5,-0.22,28,0.84,NA,NA,9,0.1,71.69722204,3.035749141,48609,717.38,9677.2,-409.112,8424.216,309.7296,59031.67,495.7676,0,0
5085,66707000,6898080,127831000,4764040,52.1837426,2.124380965,73,2.22,33,0.78,1811,1672.757162,0.00,0,25585,-1105.58,76124,402.84,145924,-1413.56,39233,-1744.3,0,0.02,NA,NA,0,-0.02,NA,NA,NA,NA,9.77962996,-0.641760176,15702,-202.18,70.8,-1.584,0.468,0.00144,3260.4,-52.8152,0,0.1498
5087,55965000,10366440,109236000,8801120,51.23310996,2.259235881,66,3.84,6,0.3,0,0,0.00,NA,NA,NA,NA,NA,0,0,0,0,8,0.28,8,-0.34,22,1.6,NA,NA,24,0.42,64.79756523,2.597254569,63455,-1.88,19935.6,-794.992,4845.564,1078.80048,60433.97,840.4598,0,0
5089,12557000,1476700,21706000,1588600,57.85036395,1.093430195,9,0.5,6,0.32,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.44,NA,NA,1,-0.08,NA,NA,10,0.14,22.53898045,1.971014094,28257,518.22,186.8,-6.752,8119.242,166.71276,2654,-68.6996,0,0
5091,27345000,187680,47521000,-346120,57.542981,0.996435088,36,-0.62,12,-0.14,6093,106.6016371,0.00,5.192307692,2095,-83.8,5797,-364.46,26743,-318.2,7432,315,7,0.16,NA,NA,5,-0.3,NA,NA,NA,NA,31.1831613,-3.768833305,30083,-339.8,129.2,-5.36,0,-0.009,20126.18,-876.4136,0,0
5093,122707000,10303760,171483000,8760120,71.55636419,1.282582969,130,1.46,69,1.18,10847,438.7646658,0.00,0,218860,-6059.34,18025,1259.58,217284,3606.4,47607,-1685.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728249266,-0.138677622,1945,-64.74,0,0,0,0,0,0,0.18,0.0474
5095,34665000,5670140,64064000,4467280,54.10995255,2.486175509,40,2.04,37,0.36,5995,1038.676671,0.00,0,17601,-644.28,49210,-600.74,119578,292.38,32579,-1113.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954634382,-0.158239152,754,-25.6,396.4,-24.24,0,0,0,0,0,0.0748
5097,18877000,252600,43643000,-642700,43.25321357,1.627850453,23,-0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,7,-0.2,5,-0.2,NA,NA,NA,NA,23.79487956,-2.644153178,19726,-125.72,7497.6,-238.504,0,-0.00936,18721.12,-703.9964,0,0
5099,16098000,1726100,34766000,1174640,46.30386009,2.255397298,16,0.98,1,0.04,0,0,NA,NA,NA,NA,NA,NA,629,-25.16,0,0,2,0.14,NA,NA,6,0.2,NA,NA,NA,NA,25.37621994,-0.500228689,18106,-48.62,62.8,-0.176,0,0,25197.33,-111.2978,0,0
5101,4530000,925560,10146000,993620,44.6481372,2.552466721,5,0.28,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.02,3,-0.04,1,0,NA,NA,0,0.26,10.8454071,0.087275555,19891,-75.1,3406,-143.04,0.504,255.25188,0,0,0,0
5103,4428000,471140,7393000,371860,59.89449479,2.1083166,7,-7.11E-18,1,-0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.08,NA,NA,0,0.14,NA,NA,NA,NA,6.009792535,0.193339294,5734,-148.66,88.4,-0.768,0,0.03528,2486,222.7804,0,0
5105,20292000,1025800,37536000,756420,54.0601023,1.304134131,25,0.12,2,0.12,189,-7.477489768,0.00,0,NA,NA,1532,-18.5,7868,-244.88,394,-19.56,0,3.55E-18,4,-0.2,6,-0.36,NA,NA,0,0.06,34.00790018,-4.438315,14894,-41.34,4363.2,-203.392,0,0,35000.9,-1023.0294,5.7,-0.2922
5107,82016000,7429680,114858000,6286780,71.40643229,1.445390358,66,2.84,47,1.56,12207,1464.270805,0.00,0,79442,-3010.66,17857,-521.12,209238,3670.22,52424,-1762.94,1,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,1.708017239,-0.278804793,3147,-88.26,243.2,-12.216,0,0,0,0,0,0.0132
5109,34462000,3266220,58115000,2657460,59.29966446,1.770368883,33,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0.06,10,-0.36,3,0.24,NA,NA,NA,NA,35.96217409,-1.368844381,19617,235.16,15025.2,-693.36,0,0,20175.05,32.322,0,0
5111,60949000,8743240,142996000,5618100,42.62287057,2.851496101,81,3.9,34,0.98,1709,948.2421555,NA,NA,64728,-2041.56,130465,-2448.68,166976,302.2,19079,-748.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.030301605,0.049137206,1800,16.62,0,2.312,0,0.02016,0,0,0,0.3504
5113,48082000,5079680,103458000,2945100,46.47489803,2.563143974,55,1.48,2,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0.04,11,-0.44,3,1.1,NA,NA,NA,NA,49.50835122,-1.958022581,37452,-182.96,19254.8,-808.744,0.378,-0.02988,62154.74,122.0338,0,0
5115,69847000,4767520,113736000,3128180,61.41151438,1.832357089,68,0.48,4,-0.02,0,48.40518417,0.00,NA,NA,NA,263,167.66,11636,-94.7,2730,-88.7,3,-0.04,22,-0.94,11,0.92,NA,NA,1,0.06,58.83848946,-3.88524403,37185,-205.34,29829.6,-1245.952,0,72.04752,59944.67,-255.9826,0,0
5117,43838000,5170300,91276000,3455660,48.02795916,2.503384657,49,2.56,32,0.22,1875,782.840382,0.00,0,1928,-99.12,75003,-846.82,150748,-2104.38,27896,-1601.58,2,-0.1,1,-0.04,NA,NA,NA,NA,NA,NA,3.523420079,-0.479249528,5540,-161.64,0,0.672,0,0.01404,0,-0.0092,0,0.1296
5119,12874000,547040,25464000,183280,50.55765002,1.628728952,10,0.34,13,-0.06,0,234.2373806,0.00,0,1319,-87.28,4597,-24.34,34628,-691.74,12577,-591.26,2,-0.02,NA,NA,2,-0.1,NA,NA,NA,NA,6.126736552,-0.693424588,11307,-325.38,186.4,-3.128,0,0.09108,0,56.1252,0,-0.1326
5121,20269000,5835680,44979000,5349260,45.06325174,2.688965886,23,2.48,17,0.12,11746,-288.4747613,NA,NA,NA,NA,26405,29.6,47377,-1082.98,8560,-399.08,6,0.3,NA,NA,0,1.28,NA,NA,NA,NA,21.08116469,3.589848436,34901,-53.58,442.8,-14.496,0,0.00288,4040.32,1280.9044,0,0
5123,38013000,6227440,69522000,4973320,54.67765599,2.385819215,45,2.7,42,0.54,1431,797.8383356,NA,NA,16042,558.76,42857,-668.32,161199,-218.14,39856,-1876.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.647225383,-0.20079572,2776,-63.18,57.6,-2.976,0,0,0,-4.44089E-19,0,0.1336
5125,0,168320,4160000,173000,0,2.063250797,1,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,5.640534209,-0.567314064,10591,-211.6,28.8,-0.744,0.45,0.04572,1.54,0.0256,9.05,-0.362
5127,54059000,4056060,92439000,2556680,58.48072783,1.931759512,42,0.72,1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.18,1,-0.04,21,-0.14,NA,NA,NA,NA,37.45109926,-1.761284029,27786,-398.82,0,0.16,0.18,-0.0072,54741.89,-415.4748,0,0
5129,0,155080,10499000,375480,0,0.860408344,0,0.22,8,-0.02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-0.14,1,-0.04,NA,NA,NA,NA,0,0.12,19.40086509,-0.558896162,34903,-138.78,1382.4,-53.968,0.216,-0.00864,0.93,0.0836,6.37,-0.1412
5131,20886000,4398840,38552000,4140760,54.17617763,1.87224523,22,2.08,1,0.1,0,-11.23328786,NA,NA,NA,NA,NA,NA,4206,-112.34,1743,-74.26,5,0.12,1,-0.04,8,1,NA,NA,NA,NA,34.72713897,5.623824738,29108,10.92,0,0.208,0.342,-0.01728,17840.25,1536.2516,0,0
5133,91091000,6242120,132676000,4388380,68.65672767,1.674177467,90,1.66,5,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,7,0.22,37,-1.38,20,1.86,NA,NA,NA,NA,95.13168514,-3.291311358,37943,-96.08,38692.4,-1460.608,0,0.00468,91432.52,592.9004,0,0
5135,19049000,5708840,33477000,5251960,56.90175344,2.305310622,18,2.02,7,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.18,NA,NA,5,1.74,NA,NA,NA,NA,25.23159766,6.802256804,27760,32.38,329.2,-9.192,0.522,-0.0036,13977.06,2106.4682,0,0
5137,11634000,1978960,38457000,1165660,30.25196973,2.756953507,16,1.1,3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.68,NA,NA,5,0.06,NA,NA,NA,NA,40.94438782,-2.627358187,31234,86.74,82,-2.84,0,0.01512,34737.12,-909.067,4.04,-0.2352
5139,37758000,-1359960,51789000,-2049300,72.90737415,0.471511376,30,-1.1,1,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.02,NA,NA,13,-0.82,NA,NA,NA,NA,19.89107899,-3.360010253,6719,-76.32,87.6,-2.016,0.288,0.11232,38907.6,-1730.5746,0,0
5141,0,116900,21052000,-88540,0,0.506254767,1,0.08,1,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3,3,-0.12,0,0.18,NA,NA,NA,NA,17.41122344,-0.95415372,25650,24.4,3828.8,-150.496,0.306,-0.02016,7582.08,-224.2676,6.18,-0.4098
5143,266911000,11532840,365172000,8351180,73.09185808,1.117527325,171,0.94,4,0.08,0,0,0.00,16.72,NA,NA,NA,NA,0,0,127,-8.54,16,0.02,11,-0.44,69,0.58,2,-0.12,34,-1.38,137.8034594,-6.43555564,111358,-1070.44,32326.8,-1692.952,24489.99,-592.97832,162918.9,216.193,0,0
5145,25521000,4128120,64498000,3415460,39.5686688,2.294590611,29,0.64,18,0.14,2031,107.4774898,50.00,NA,NA,NA,25231,-764.08,82087,-2155.44,11418,-667.18,9,0.06,0,-0.02,2,0.54,0,0.06,NA,NA,24.55852464,-1.098340068,56987,-712.72,757.2,-23.84,0.54,0.0774,6221.85,147.5904,0,0
5147,51211000,4869400,74024000,3869500,69.18161677,1.707534308,62,0.9,51,-0.04,19952,18.00613915,0.00,0,6606,-196.92,58292,-347.54,143166,-474.08,34718,-1665.8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.842364429,-0.033228717,1172,-10.1,0,0,0,0,0,0,0,0
5149,68050000,9551980,115954000,7751100,58.68706556,2.026431223,67,2.84,7,0.06,1575,-19.05866303,0.00,4.8,NA,NA,717,-49.46,13502,-372.6,3410,-177.18,5,0.06,17,-0.44,20,1.42,NA,NA,0,0.18,48.66945712,3.064570587,37773,-57,21726.8,-557.288,3.816,153.92736,61563.06,1936.8456,0,0
17001,29684000,7269560,120059000,6968840,24.72451045,2.206349989,32,6.16,10,1.36,123948,1829.988404,2704.00,24.1,NA,NA,NA,NA,122214,565.32,25495,-917,3,0.24,31,-0.5,NA,NA,NA,NA,NA,NA,36.11111748,1.074620274,39782,-261.52,55316.8,736.576,0.126,0.11916,1.89,0.4432,0,0.3964
17003,5714000,431580,13225000,445920,43.20604915,1.105279215,8,0.24,7,-0.16,9493,-105.6759891,NA,NA,NA,NA,0,0,37372,-472.32,4703,-118.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.253198787,-1.026112957,3424,-121.08,104.4,-4.216,0,0,0,0.052,0,0.1264
17005,5762000,2498240,45698000,2055200,12.60886691,2.687208897,8,2.36,6,0.8,47377,642.2762619,1337.00,-0.52,NA,NA,NA,NA,66821,466.06,29140,-835.78,0,-0.02,2,-0.08,NA,NA,NA,NA,NA,NA,17.90348295,-2.07313981,10413,-78.44,7333.6,-329.728,0,-0.00972,0.52,0.0008,6.68,-0.262
17007,18878000,2233100,54132000,1994520,34.87401168,1.754175036,21,1.22,5,-0.08,65177,-128.7646658,2221.00,-36.04,NA,NA,NA,NA,50128,-686.5,1884,-19.24,1,0,3,-0.06,NA,NA,NA,NA,NA,NA,20.87900527,-2.495362431,10868,-216.48,4894,-145.872,0,-0.03384,0,-0.0362,8.76,-0.4938
